filename,date,cloud_coverage
LC08_L2SP_147038_20131230_02_T1.tif,2013-12-30 05:25:38.840863+00:00,20.37
LC08_L2SP_147038_20131214_02_T1.tif,2013-12-14 05:25:47.271023+00:00,18.75
LC08_L2SP_147038_20131128_02_T1.tif,2013-11-28 05:25:50.973490+00:00,6.34
LC08_L2SP_147038_20131112_02_T1.tif,2013-11-12 05:25:57.767764+00:00,3.09
LC08_L2SP_147038_20131027_02_T1.tif,2013-10-27 05:25:57.881846+00:00,11.22
LC08_L2SP_147038_20131011_02_T1.tif,2013-10-11 05:26:07.060322+00:00,39.14
LC08_L2SP_147038_20130925_02_T1.tif,2013-09-25 05:26:06.986730+00:00,7.65
LC08_L2SP_147038_20130909_02_T1.tif,2013-09-09 05:26:15.027870+00:00,69.85
LC08_L2SP_147038_20130824_02_T1.tif,2013-08-24 05:26:16.709958+00:00,63.63
LC08_L2SP_147038_20130808_02_T1.tif,2013-08-08 05:26:14.799831+00:00,72.1
LC08_L2SP_147038_20130723_02_T1.tif,2013-07-23 05:26:11.830472+00:00,59.08
LC08_L2SP_147038_20130707_02_T1.tif,2013-07-07 05:26:13.461349+00:00,74.37
LC08_L2SP_147038_20130621_02_T1.tif,2013-06-21 05:26:08.845254+00:00,12.21
LC08_L2SP_147038_20130605_02_T1.tif,2013-06-05 05:26:16.657157+00:00,8.3
LC08_L2SP_147038_20130520_02_T1.tif,2013-05-20 05:26:15.332797+00:00,4.95
LC08_L2SP_147038_20130504_02_T1.tif,2013-05-04 05:26:02.430998+00:00,18.3
LC08_L2SP_147038_20130418_02_T1.tif,2013-04-18 05:26:02.486322+00:00,2.89
LC08_L2SP_146038_20130411_02_T1.tif,2013-04-11 05:21:42.448750+00:00,23.57
LC08_L2SP_147038_20130327_02_T1.tif,2013-03-27 05:26:07.160657+00:00,96.39
LC08_L2SP_147038_20141217_02_T1.tif,2014-12-17 05:24:21.243062+00:00,0.14
LC08_L2SP_147038_20141201_02_T1.tif,2014-12-01 05:24:25.675286+00:00,5.36
LC08_L2SP_147038_20141115_02_T1.tif,2014-11-15 05:24:27.104444+00:00,6.36
LC08_L2SP_147038_20141030_02_T1.tif,2014-10-30 05:24:23.475823+00:00,5.77
LC08_L2SP_147038_20141014_02_T1.tif,2014-10-14 05:24:27.685594+00:00,87.97
LC08_L2SP_147038_20140928_02_T1.tif,2014-09-28 05:24:21.504869+00:00,22.95
LC08_L2SP_147038_20140912_02_T1.tif,2014-09-12 05:24:22.919504+00:00,41.77
LC08_L2SP_147038_20140827_02_T1.tif,2014-08-27 05:24:18.684300+00:00,14.22
LC08_L2SP_147038_20140811_02_T1.tif,2014-08-11 05:24:16.927310+00:00,28.17
LC08_L2SP_147038_20140726_02_T1.tif,2014-07-26 05:24:07.693701+00:00,67.81
LC08_L2SP_147038_20140710_02_T1.tif,2014-07-10 05:24:05.269410+00:00,9.51
LC08_L2SP_147038_20140624_02_T1.tif,2014-06-24 05:23:56.847623+00:00,29.53
LC08_L2SP_147038_20140608_02_T1.tif,2014-06-08 05:23:54.353228+00:00,4.08
LC08_L2SP_147038_20140523_02_T1.tif,2014-05-23 05:23:43.573122+00:00,91.72
LC08_L2SP_147038_20140507_02_T1.tif,2014-05-07 05:23:51.583526+00:00,22.34
LC08_L2SP_147038_20140421_02_T1.tif,2014-04-21 05:24:07.875712+00:00,2.11
