2024-11-21 12:10:26,135 INFO    MainThread:29616 [wandb_setup.py:_flush():77] Current SDK version is 0.17.8
2024-11-21 12:10:26,136 INFO    MainThread:29616 [wandb_setup.py:_flush():77] Configure stats pid to 29616
2024-11-21 12:10:26,136 INFO    MainThread:29616 [wandb_setup.py:_flush():77] Loading settings from C:\Users\joaqu\.config\wandb\settings
2024-11-21 12:10:26,136 INFO    MainThread:29616 [wandb_setup.py:_flush():77] Loading settings from C:\Users\joaqu\OneDrive\Documentos\FAU\Project glaciar\Glaciers_NeurIPS\wandb\settings
2024-11-21 12:10:26,136 INFO    MainThread:29616 [wandb_setup.py:_flush():77] Loading settings from environment variables: {}
2024-11-21 12:10:26,136 INFO    MainThread:29616 [wandb_setup.py:_flush():77] Applying setup settings: {'_disable_service': False}
2024-11-21 12:10:26,136 INFO    MainThread:29616 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program_relpath': 'DeepLearning\\convLSTMTrain\\convLSTMTrain.py', 'program_abspath': 'c:\\Users\\joaqu\\OneDrive\\Documentos\\FAU\\Project glaciar\\Glaciers_NeurIPS\\DeepLearning\\convLSTMTrain\\convLSTMTrain.py', 'program': 'c:\\Users\\joaqu\\OneDrive\\Documentos\\FAU\\Project glaciar\\Glaciers_NeurIPS\\DeepLearning\\convLSTMTrain\\convLSTMTrain.py'}
2024-11-21 12:10:26,136 INFO    MainThread:29616 [wandb_setup.py:_flush():77] Applying login settings: {}
2024-11-21 12:10:26,137 INFO    MainThread:29616 [wandb_init.py:_log_setup():524] Logging user logs to C:\Users\joaqu\OneDrive\Documentos\FAU\Project glaciar\Glaciers_NeurIPS\wandb\run-20241121_121026-19qul0pb\logs\debug.log
2024-11-21 12:10:26,137 INFO    MainThread:29616 [wandb_init.py:_log_setup():525] Logging internal logs to C:\Users\joaqu\OneDrive\Documentos\FAU\Project glaciar\Glaciers_NeurIPS\wandb\run-20241121_121026-19qul0pb\logs\debug-internal.log
2024-11-21 12:10:26,137 INFO    MainThread:29616 [wandb_init.py:init():607] calling init triggers
2024-11-21 12:10:26,137 INFO    MainThread:29616 [wandb_init.py:init():614] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.0001, 'architecture': 'ConvLSTMBig', 'dataset': 'Helheim, Aletsch, jakobshavn', 'epochs': 10}
2024-11-21 12:10:26,137 INFO    MainThread:29616 [wandb_init.py:init():657] starting backend
2024-11-21 12:10:26,137 INFO    MainThread:29616 [wandb_init.py:init():661] setting up manager
2024-11-21 12:10:26,140 INFO    MainThread:29616 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-11-21 12:10:26,143 INFO    MainThread:29616 [wandb_init.py:init():669] backend started and connected
2024-11-21 12:10:26,150 INFO    MainThread:29616 [wandb_init.py:init():767] updated telemetry
2024-11-21 12:10:26,193 INFO    MainThread:29616 [wandb_init.py:init():800] communicating run to backend with 90.0 second timeout
2024-11-21 12:10:26,685 INFO    MainThread:29616 [wandb_init.py:init():851] starting run threads in backend
2024-11-21 12:10:35,659 INFO    MainThread:29616 [wandb_run.py:_console_start():2463] atexit reg
2024-11-21 12:10:35,659 INFO    MainThread:29616 [wandb_run.py:_redirect():2309] redirect: wrap_raw
2024-11-21 12:10:35,659 INFO    MainThread:29616 [wandb_run.py:_redirect():2374] Wrapping output streams.
2024-11-21 12:10:35,659 INFO    MainThread:29616 [wandb_run.py:_redirect():2399] Redirects installed.
2024-11-21 12:10:35,664 INFO    MainThread:29616 [wandb_init.py:init():894] run started, returning control to user process
2024-11-21 12:44:18,756 WARNING MsgRouterThr:29616 [router.py:message_loop():77] message_loop has been closed
